country	AcuteCare	AcuteCarPer100k	IMCU	ICU 	CriticalCare	CriticalCarePer100k	percentOfTotal	GDP
Bangladesh	32611		296	878	1174	0.7	3.6	
India	810730			29997	29997	2.3	3.7	
Indonesia	308435			7094	7094	2.7	2.3	
Lao People's Democratic Republic				152	152	2.1		
Mongolia	10840			271	271	8.8	2.5	
Myanmar	58600		255	331	586	1.1	1	
Nepal			237	578	815	2.8		
Pakistan	125680			3142	3142	1.5	2.5	
Philippines	63108			2315	2335	2.2	3.7	
Sri Lanka	86500			519	519	2.3	0.6	
China	5494778			49453	49453	3.6	0.9	
Iran (Islamic Republic of)	130690			3769	3790	4.6	2.9	
Kazakhstan	101231			3948	3948	21.3	3.9	
Malaysia	62353			1060	1060	3.4	1.7	
Thailand	139216			7100	7100	10.4	5.1	
Brunei Darussalam	1234			58	58	13.1	4.7	
Hong Kong	18926			287	511	7.1	2.7	
Japan	710846			5973	9241	7.3	1.3	
Oman	5736			196	499	14.6	8.7	
Saudi Arabia	70815			6515	6515	22.8	9.2	
Singapore	10167			335	671	11.4	6.6	
Korea, Republic of	270100			5402	5402	10.6	2	
Taiwan, Province of China	73637			5758	6701	28.5	9.1	
