country	AcuteCare	AcuteCarPer100k	IMCU	ICU 	CriticalCare	CriticalCarePer100k	percentOfTotal	GDP
Belgium	56927							
Bulgaria	43646							
Czechia	43531							
Denmark	14621							
Germany	497182							
Estonia	4539							
Ireland	13297							
Greece	38747							
Spain	113042							
France	206619							
Croatia	14475							
Italy	158891							
Cyprus	2922							
Latvia	6407							
Lithuania	15477							
Luxembourg	2251							
Hungary	41803							
Malta	1486							
Netherlands	50047							
Austria	47920							
Poland	184230							
Portugal	33447							
Romania	102899							
Slovenia	8686							
Slovakia	26692							
Finland	15397							
Sweden	20477							
United Kingdom of Great Britain and Northern Ireland	139647							
Iceland	862							
Liechtenstein	91							
Norway	16885							
Switzerland	30057							
North Macedonia	5937							
Serbia	32585							
Turkey	223386							
